eventID	eventType	device	device_operation_label	device_operation_subdevices	device_operation_devicetypes	date_start	date_end	time_start	time_end	lat_start	lon_start	lat_end	lon_end	depth_start_m	depth_end_m
PS149_13-12	station	TV-guided Multiple Corer	TV-MUC		corer	2025-07-12	2025-07-12	19:06:14	23:05:06	83.8652	24.2656	83.8747	24.6332	4070.9	4070.3
PS149_13-2	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-07-09	2025-07-09	10:05:43	14:27:27	83.7913	20.7801	83.7624	20.8394	4074.9	4078
PS149_13-3	station	Hand Net	HN_PS		net	2025-07-09	2025-07-09	14:30:09	14:35:09	83.7621	20.8404	83.7616	20.8425	4078	4077.5
PS149_13-4	station	Multinet Midi 5 Nets	MN_S5_PS		net	2025-07-09	2025-07-09	15:04:22	17:00:16	83.7585	20.8558	83.7459	20.9344	4076.7	4076.9
PS149_13-5	station	Multinet Midi 5 Nets 55 ?m	mn_s5_ps_55		net	2025-07-09	2025-07-09	17:09:17	19:54:20	83.7448	20.9419	83.7273	21.1115	4074.4	4076.1
PS149_13-6	station	Remotely ObServing INsitu camera for Aggregates	ROSINA		underwater cameras	2025-07-11	2025-07-11	08:32:07	13:04:27	83.7556	22.2105	83.7717	22.4346	4070.6	4071
PS149_13-7	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-07-11	2025-07-11	13:31:27	14:52:45	83.7727	22.4596	83.7747	22.5356	4072.4	4070.8
PS149_13-8	station	Hand Net	HN_PS		net	2025-07-11	2025-07-11	13:42:27	13:47:36	83.7730	22.4697	83.7732	22.4745	4071.1	4070.9
PS149_13-9	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-07-11	2025-07-11	14:55:45	15:05:09	83.7747	22.5383	83.7749	22.5469	4072.3	4072.4
PS149_14-1	station	PacificGyre SVP5S 2025O29	2025O29		Buoy	2025-07-12	2025-07-12	18:58:00	19:47:32	83.8650	24.2543	83.8673	24.3284	4071.3	4071.1
PS149_14-2	station	MetOcean SVP-I-BXGS-AP (FID4076) 2025P348	2025P348		Buoy	2025-07-12	2025-07-12	19:56:06	19:56:42	83.8678	24.3413	83.8678	24.3422	4071.2	4071.1
PS149_15-1	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-07-13	2025-07-13	14:26:09	16:42:58	84.6670	20.7409	84.6633	20.7903	3681.4	4057.9
PS149_15-2	station	Hand Net	HN_PS		net	2025-07-13	2025-07-13	14:39:09	14:43:18	84.6678	20.7357	84.6679	20.7321	4055.5	4055.5
PS149_15-3	station	Multinet Midi 5 Nets	MN_S5_PS		net	2025-07-13	2025-07-13	16:43:31	18:43:46	84.6633	20.7904	84.6584	20.8262	4057.9	4059.5
PS149_15-4	station	TV-guided Multiple Corer	TV-MUC		corer	2025-07-13	2025-07-13	18:45:25	22:46:49	84.6582	20.8248	84.6504	20.8413	4059.4	4060
PS149_16-1	station	Ship-supported ice station	ship_icestation		pack ice	2025-07-14	2025-07-17	12:36:36	17:58:01	85.0227	13.5128	84.6866	13.9445	3065.2	3612.9
PS149_16-10	station	TV-guided Multiple Corer	TV-MUC		corer	2025-07-17	2025-07-17	18:19:46	21:25:02	84.6925	13.8798	84.6927	13.9099	3559.3	3570.8
PS149_16-11	station	OpenMet Wavebuoy 2025X28	2025X28		Buoy	2025-07-17	2025-07-17	18:24:50	19:07:22	84.6924	13.8790	84.6923	13.8713	3558.5	3555.1
PS149_16-2	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-07-14	2025-07-14	15:27:27	17:41:05	85.0226	13.5934	85.0273	13.6156	3049.9	3083
PS149_16-3	station	Hand Net	HN_PS		net	2025-07-14	2025-07-14	15:41:09	15:45:45	85.0229	13.5954	85.0230	13.5960	3048.4	3067.5
PS149_16-4	station	Multinet Midi 5 Nets	MN_S5_PS		net	2025-07-14	2025-07-14	17:43:11	19:42:27	85.0274	13.6162	85.0330	13.6669	3086	2828.5
PS149_16-5	station	Remotely ObServing INsitu camera for Aggregates	ROSINA		underwater cameras	2025-07-14	2025-07-14	19:44:00	22:18:49	85.0330	13.6679	85.0329	13.8071	2840.3	2882
PS149_16-6	station	Bongo Net	BONGO_PS		net	2025-07-15	2025-07-15	08:36:36	09:08:16	84.9951	13.9214	84.9925	13.9585	3181.5	3009.1
PS149_16-7	station	Marine Snow Catcher	MSC_PS		water sampler	2025-07-15	2025-07-15	09:09:03	09:26:02	84.9924	13.9594	84.9906	13.9779	0	2852.8
PS149_16-8	station	Multinet Midi 5 Nets 55 ?m	mn_s5_ps_55		net	2025-07-15	2025-07-15	09:26:32	12:17:18	84.9905	13.9785	84.9602	14.1044	2872.1	3182.2
PS149_16-9	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-07-15	2025-07-15	12:21:27	13:18:18	84.9592	14.1057	84.9464	14.1158	3193.3	3704.4
PS149_17-1	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-07-18	2025-07-18	13:27:27	15:39:09	84.5802	-0.3064	84.5777	-0.2592	4488.7	3941.2
PS149_17-2	station	Hand Net	HN_PS		net	2025-07-18	2025-07-18	13:46:09	13:52:22	84.5798	-0.3090	84.5796	-0.3083	3821	3808.3
PS149_17-3	station	Hand Net	HN_PS		net	2025-07-18	2025-07-18	14:44:18	14:53:45	84.5782	-0.2967	84.5780	-0.2915	3912.1	3920.6
PS149_17-4	station	Multinet Midi 5 Nets	MN_S5_PS		net	2025-07-18	2025-07-18	15:48:54	18:16:00	84.5782	-0.2648	84.5808	-0.2752	3937.6	3915.3
PS149_18-1	station	Ship-supported ice station	ship_icestation		pack ice	2025-07-19	2025-07-22	17:45:41	18:00:00	84.4820	-17.8762	84.3491	-17.8860	3392.7	3407.1
PS149_18-10	station	Bongo Net	BONGO_PS		net	2025-07-20	2025-07-20	14:56:54	15:15:45	84.4562	-17.8803	84.4548	-17.8806	3406.3	3406.9
PS149_18-11	station	Marine Snow Catcher	MSC_PS		water sampler	2025-07-20	2025-07-20	18:23:46	19:00:04	84.4431	-17.9385	84.4421	-17.9557	3410	3410.2
PS149_18-12	profile	Remotely ObServing INsitu camera for Aggregates	ROSINA		underwater cameras	2025-07-20	2025-07-20	19:49:51	22:07:22	84.4414	-17.9773	84.4424	-18.0011	3410.6	3410.7
PS149_18-13	station	Marine Snow Catcher	MSC_PS		water sampler	2025-07-22	2025-07-22	09:12:51	09:35:25	84.3719	-17.8936	84.3716	-17.8946	3406.8	3406.8
PS149_18-14	station	PacificGyre SVP5S 2025O32	2025O32		Buoy	2025-07-22	2025-07-22	18:15:03	19:21:02	84.3506	-17.7655	84.3483	-17.7599	3402.1	3400.8
PS149_18-2	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-07-19	2025-07-19	20:09:51	22:54:26	84.4828	-17.9277	84.4875	-17.9255	3394.6	3390.9
PS149_18-3	station	Hand Net	HN_PS		net	2025-07-19	2025-07-19	20:26:34	20:43:35	84.4832	-17.9318	84.4837	-17.9350	3394.5	3393.5
PS149_18-4	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-07-19	2025-07-19	22:54:59	23:02:54	84.4875	-17.9254	84.4876	-17.9231	3391.1	3391.3
PS149_18-5	station	Multinet Midi 5 Nets	MN_S5_PS		net	2025-07-20	2025-07-20	08:26:16	10:15:19	84.4665	-17.9369	84.4668	-17.9435	3401.5	3401.5
PS149_18-6	station	Multinet Midi 5 Nets 55 ?m	mn_s5_ps_55		net	2025-07-20	2025-07-20	10:15:43	12:58:27	84.4668	-17.9435	84.4637	-17.9027	3401.5	3402.9
PS149_18-7	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-07-20	2025-07-20	13:03:45	14:08:18	84.4635	-17.9011	84.4597	-17.8850	3402.8	3404.6
PS149_18-8	station	Bongo Net	BONGO_PS		net	2025-07-20	2025-07-20	14:11:18	14:37:54	84.4595	-17.8846	84.4576	-17.8813	3404.8	3405.7
PS149_18-9	station	Bongo Net	BONGO_PS		net	2025-07-20	2025-07-20	14:38:09	14:56:18	84.4576	-17.8813	84.4562	-17.8803	3405.7	3406.3
PS149_19-1	station	GoPro Hero11 black video camera	gopro_uoc		camera	2025-07-23	2025-07-23	08:33:07	09:03:32	83.9275	-5.1171	83.9339	-5.1194	3006.7	3047.6
PS149_2-1	station	MetOcean SVP-I-BXGS-AP (FID4076) 2025P344	2025P344		Buoy	2025-07-05	2025-07-05	13:52:45	13:54:33	79.9469	9.0098	79.9476	9.0099	473.6	473.6
PS149_20-1	station	TV-guided Multiple Corer	TV-MUC		corer	2025-07-24	2025-07-24	10:30:45	14:48:09	83.7359	11.1345	83.7131	11.1817	3621.6	3472.3
PS149_21-1	station	Ship-supported ice station	ship_icestation		pack ice	2025-07-25	2025-07-28	16:30:00	16:40:09	82.7010	27.1185	82.4897	28.4180	3972.5	3832.2
PS149_21-10	station	Remotely ObServing INsitu camera for Aggregates	ROSINA		underwater cameras	2025-07-26	2025-07-26	15:22:09	18:07:20	82.6129	26.7035	82.5986	26.6739	3976.5	3978.8
PS149_21-11	station	Hand Net	HN_PS		net	2025-07-26	2025-07-26	17:36:21	17:40:45	82.6012	26.6806	82.6008	26.6796	3977.5	3978
PS149_21-12	station	Marine Snow Catcher	MSC_PS		water sampler	2025-07-26	2025-07-26	18:10:40	18:26:07	82.5983	26.6731	82.5970	26.6695	3978.6	3978.8
PS149_21-13	station	Maritime Robotics Otter Pro USV SN124	otter_pro_usv_124		small boat	2025-07-27	2025-07-27	09:35:05	10:50:32	82.5420	26.8297	82.5408	26.8663	3963.3	3961.8
PS149_21-14	station	Maritime Robotics Otter Pro USV SN124	otter_pro_usv_124		small boat	2025-07-28	2025-07-28	10:35:31	11:23:37	82.4863	28.1688	82.4858	28.1894	3850.1	3848.2
PS149_21-15	station	TV-guided Multiple Corer	TV-MUC		corer	2025-07-28	2025-07-28	17:00:03	19:55:13	82.4966	28.4470	82.4905	28.5706	3832.1	3815.9
PS149_21-2	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-07-25	2025-07-25	19:51:21	22:32:30	82.6776	27.0699	82.6632	26.9858	3965.9	3966.4
PS149_21-3	station	Hand Net	HN_PS		net	2025-07-25	2025-07-25	20:03:51	20:06:48	82.6763	27.0645	82.6759	27.0631	3965.9	3965.9
PS149_21-4	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-07-25	2025-07-25	22:36:01	22:43:22	82.6630	26.9840	82.6625	26.9803	3966.8	3967.5
PS149_21-5	station	Multinet Midi 5 Nets	MN_S5_PS		net	2025-07-26	2025-07-26	08:31:51	10:37:48	82.6318	26.7842	82.6290	26.7324	3977.2	3978.4
PS149_21-6	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-07-26	2025-07-26	12:29:27	13:55:09	82.6249	26.7174	82.6197	26.7118	3978.7	3978
PS149_21-7	station	Bongo Net	BONGO_PS		net	2025-07-26	2025-07-26	13:58:09	14:27:18	82.6194	26.7114	82.6172	26.7089	3978.2	3978.4
PS149_21-8	station	Bongo Net	BONGO_PS		net	2025-07-26	2025-07-26	14:27:54	14:43:43	82.6172	26.7089	82.6160	26.7074	3978.2	3977.3
PS149_21-9	station	Bongo Net	BONGO_PS		net	2025-07-26	2025-07-26	14:44:44	15:04:27	82.6159	26.7073	82.6143	26.7055	3977.2	3976.7
PS149_22-1	station	Multinet Midi 5 Nets	MN_S5_PS		net	2025-07-29	2025-07-29	08:30:04	10:52:25	83.2446	21.8526	83.2511	21.8841	4069.5	4069.6
PS149_22-2	station	Hand Net	HN_PS		net	2025-07-29	2025-07-29	08:54:51	09:04:40	83.2470	21.8557	83.2470	21.8566	4069.9	4070.3
PS149_22-3	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-07-29	2025-07-29	10:52:54	13:04:09	83.2512	21.8840	83.2517	21.9564	4070	4069.8
PS149_23-1	station	GoPro Hero11 black video camera	gopro_uoc		camera	2025-07-29	2025-07-29	13:05:09	13:13:36	83.2517	21.9612	83.2513	21.9266	4069.9	4069.9
PS149_24-1	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-07-29	2025-07-29	20:06:59	20:14:50	83.6214	17.6156	83.6234	17.6218	4070	4070.3
PS149_24-2	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-07-29	2025-07-29	21:03:36	21:11:03	83.6698	16.9955	83.6704	16.9842	4072.6	4072.6
PS149_24-3	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-07-29	2025-07-29	22:05:07	22:12:11	83.7266	16.4715	83.7276	16.4660	4067.7	4067.3
PS149_24-4	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-07-29	2025-07-29	23:19:39	23:25:26	83.8022	16.7610	83.8034	16.7644	4070.9	4070.9
PS149_24-5	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-07-30	2025-07-30	00:46:27	00:53:27	83.8517	16.0775	83.8513	16.0785	4069	4069.2
PS149_24-6	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-07-30	2025-07-30	01:56:36	02:06:09	83.8713	15.3989	83.8690	15.4068	4070.7	4069.7
PS149_24-7	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-07-30	2025-07-30	03:21:45	03:28:09	83.8003	15.0718	83.7996	15.0687	4064.3	4064.6
PS149_24-8	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-07-30	2025-07-30	04:17:42	04:24:12	83.7400	15.0017	83.7392	14.9913	4066.4	4066.6
PS149_24-9	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-07-30	2025-07-30	05:47:34	05:58:06	83.6997	15.7636	83.6993	15.7608	4070.2	4070.2
PS149_25-1	station	Ship-supported ice station	ship_icestation		pack ice	2025-07-30	2025-08-01	07:00:05	17:31:26	83.7575	15.8090	83.7359	18.9914	3939.7	4072.5
PS149_25-10	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-07-31	2025-07-31	09:02:43	09:12:37	83.7067	17.1125	83.7072	17.1218	4070.7	4070.9
PS149_25-11	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-07-31	2025-07-31	10:27:48	13:09:27	83.7104	17.1944	83.7153	17.4430	4070.9	4074.6
PS149_25-12	station	Hand Net	HN_PS		net	2025-07-31	2025-07-31	10:44:56	10:53:46	83.7111	17.2126	83.7116	17.2232	4071.1	4071.1
PS149_25-13	station	Maritime Robotics Otter Pro USV SN124	otter_pro_usv_124		small boat	2025-07-31	2025-07-31	13:15:45	15:28:09	83.7151	17.4547	83.7074	17.6820	4072.9	4072.7
PS149_25-14	station	TV-guided Multiple Corer	TV-MUC		corer	2025-08-01	2025-08-01	17:43:43	20:45:20	83.7406	19.0050	83.7491	19.0376	4071.3	4072.7
PS149_25-2	station	Multinet Midi 5 Nets 55 ?m	mn_s5_ps_55		net	2025-07-30	2025-07-30	10:04:44	12:01:27	83.7579	15.8394	83.7558	15.9237	3941.9	3951.4
PS149_25-3	station	Multinet Midi 5 Nets	MN_S5_PS		net	2025-07-30	2025-07-30	12:03:27	13:55:09	83.7557	15.9257	83.7472	16.0520	3951.7	4046.3
PS149_25-4	station	Bongo Net	BONGO_PS		net	2025-07-30	2025-07-30	13:56:09	14:14:18	83.7470	16.0531	83.7450	16.0708	4046.2	4049.5
PS149_25-5	station	Bongo Net	BONGO_PS		net	2025-07-30	2025-07-30	14:15:09	14:30:09	83.7449	16.0717	83.7431	16.0854	4049.5	4045.2
PS149_25-6	station	Bongo Net	BONGO_PS		net	2025-07-30	2025-07-30	14:30:45	14:47:09	83.7430	16.0859	83.7410	16.0999	4045.2	4033.8
PS149_25-7	station	Marine Snow Catcher	MSC_PS		water sampler	2025-07-30	2025-07-30	14:54:09	15:12:09	83.7401	16.1056	83.7377	16.1192	4028.2	4014.4
PS149_25-8	station	Remotely ObServing INsitu camera for Aggregates	ROSINA		underwater cameras	2025-07-30	2025-07-30	15:57:56	18:25:57	83.7316	16.1480	83.7158	16.1920	3978.3	4063.7
PS149_25-9	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-07-31	2025-07-31	08:03:01	08:59:14	83.7045	17.0598	83.7066	17.1092	4070.8	4070.7
PS149_26-1	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-08-01	2025-08-01	23:04:06	23:11:21	83.7323	17.3724	83.7317	17.3291	4072.5	4071.9
PS149_26-2	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-08-02	2025-08-02	01:19:45	01:26:09	83.8002	15.8619	83.8040	15.8588	4028.5	3827.5
PS149_27-1	station	GoPro Hero11 black video camera	gopro_uoc		camera	2025-08-02	2025-08-02	12:52:45	12:56:16	83.7893	6.9923	83.7904	6.9853	3747.9	3817.7
PS149_28-1	station	Multinet Midi 5 Nets	MN_S5_PS		net	2025-08-02	2025-08-02	13:36:09	15:30:45	83.8201	6.7820	83.8188	6.8940	3846.3	3857.8
PS149_28-2	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-08-02	2025-08-02	16:29:18	18:49:27	83.8183	6.8981	83.8149	6.9244	3858	3860.5
PS149_28-3	station	Hand Net	HN_PS		net	2025-08-02	2025-08-02	16:46:36	16:52:23	83.8182	6.9084	83.8178	6.9106	3858.8	3858.9
PS149_28-4	station	Hand Net	HN_PS		net	2025-08-02	2025-08-02	16:52:07	16:55:59	83.8178	6.9105	83.8176	6.9117	3858.9	3859.4
PS149_29-1	station	XCTD-Deck-Unit	XCTD_MK150_2		CTD	2025-08-03	2025-08-03	16:07:49	16:19:43	83.6182	-11.8597	83.6047	-11.9016	3974.7	3978.6
PS149_29-2	station	XCTD-Deck-Unit	XCTD_MK150_2		CTD	2025-08-03	2025-08-03	17:05:00	17:17:45	83.5442	-12.0469	83.5442	-12.0629	3714.9	3719.3
PS149_29-3	station	XCTD-Deck-Unit	XCTD_MK150_2		CTD	2025-08-03	2025-08-03	18:50:48	19:07:41	83.5194	-12.6745	83.5246	-12.6973	3686.4	3696.2
PS149_29-4	station	XCTD-Deck-Unit	XCTD_MK150_2		CTD	2025-08-03	2025-08-03	19:47:15	19:56:54	83.5296	-13.0817	83.5318	-13.0784	3594.7	3595.8
PS149_29-5	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-08-03	2025-08-03	22:10:21	22:20:15	83.5913	-13.1130	83.5925	-13.1025	3609.1	3607.9
PS149_29-6	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-08-03	2025-08-04	23:59:18	00:24:09	83.5739	-13.6902	83.5762	-13.6634	3660.4	3664.4
PS149_29-7	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-08-04	2025-08-04	01:50:09	01:59:36	83.5076	-13.6448	83.5083	-13.6342	3651.6	3649
PS149_29-8	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-08-04	2025-08-04	03:03:09	03:09:54	83.4285	-13.3813	83.4276	-13.3428	3589.4	3571.3
PS149_29-9	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-08-04	2025-08-04	03:52:45	04:01:23	83.4609	-12.8548	83.4676	-12.7993	3586	3586.4
PS149_3-1	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-07-06	2025-07-06	02:24:06	04:01:31	81.5933	17.6703	81.5926	17.6756	1649.2	1631.5
PS149_30-1	station	Ship-supported ice station	ship_icestation		pack ice	2025-08-04	2025-08-06	07:28:09	19:30:46	83.5856	-12.5664	83.7186	-11.0124	3922.9	3947.7
PS149_30-10	station	Remotely ObServing INsitu camera for Aggregates	ROSINA		underwater cameras	2025-08-04	2025-08-04	15:38:45	16:59:58	83.6089	-12.0554	83.6106	-11.9971	3977.7	3977.2
PS149_30-11	station	Marine Snow Catcher	MSC_PS		water sampler	2025-08-04	2025-08-04	17:00:34	17:26:38	83.6106	-11.9967	83.6110	-11.9774	3977.2	3977.1
PS149_30-12	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-08-05	2025-08-05	08:05:19	09:42:35	83.6162	-11.4545	83.6203	-11.4235	3975.8	3969.2
PS149_30-13	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-08-05	2025-08-05	10:49:31	14:37:18	83.6226	-11.3988	83.6262	-11.3352	3976.7	3861.7
PS149_30-14	station	Hand Net	HN_PS		net	2025-08-05	2025-08-05	11:15:24	11:27:12	83.6234	-11.3889	83.6238	-11.3851	3901.9	3805.4
PS149_30-15	profile	Maritime Robotics Otter Pro USV SN124	otter_pro_usv_124		small boat	2025-08-05	2025-08-05	14:56:18	15:52:45	83.6263	-11.3336	83.6263	-11.3266	3862.1	3857.5
PS149_30-16	station	Remotely ObServing INsitu camera for Aggregates	ROSINA		underwater cameras	2025-08-05	2025-08-05	16:00:02	17:04:19	83.6264	-11.3258	83.6275	-11.3235	3857.8	3874.8
PS149_30-17	station	Multi Corer	MUC_PS		corer	2025-08-06	2025-08-06	10:58:37	13:58:27	83.6922	-11.0976	83.7044	-11.0240	3937.2	3937.5
PS149_30-2	station	Multinet Midi 5 Nets	MN_S5_PS		net	2025-08-04	2025-08-04	10:01:28	12:01:36	83.5993	-12.4106	83.6055	-12.2417	3989.4	3987.1
PS149_30-3	station	Multinet Midi 5 Nets 55 ?m	mn_s5_ps_55		net	2025-08-04	2025-08-04	12:02:45	13:53:45	83.6055	-12.2404	83.6074	-12.1350	3987.2	3978
PS149_30-4	station	Bongo Net	BONGO_PS		net	2025-08-04	2025-08-04	13:57:09	14:10:45	83.6075	-12.1323	83.6077	-12.1218	3978	3977.9
PS149_30-5	station	Bongo Net	BONGO_PS		net	2025-08-04	2025-08-04	14:11:45	14:22:09	83.6077	-12.1210	83.6079	-12.1132	3977.9	3977.9
PS149_30-6	station	Bongo Net	BONGO_PS		net	2025-08-04	2025-08-04	14:22:45	14:33:36	83.6079	-12.1127	83.6081	-12.1048	3977.9	3977.8
PS149_30-7	station	Bongo Net	BONGO_PS		net	2025-08-04	2025-08-04	14:34:36	14:45:54	83.6081	-12.1040	83.6083	-12.0958	3977.8	3977.7
PS149_30-8	station	Bongo Net	BONGO_PS		net	2025-08-04	2025-08-04	14:46:45	14:59:36	83.6083	-12.0951	83.6084	-12.0855	3977.7	3977.7
PS149_30-9	station	Bongo Net	BONGO_PS		net	2025-08-04	2025-08-04	15:00:09	15:09:36	83.6084	-12.0851	83.6085	-12.0779	3977.7	3977.7
PS149_31-1	station	GoPro Hero11 black video camera	gopro_uoc		camera	2025-08-07	2025-08-07	19:18:11	19:40:46	83.9050	8.7916	83.9113	9.0527	3808.8	3064
PS149_32-1	station	Ship-supported ice station	ship_icestation		pack ice	2025-08-09	2025-08-10	08:00:12	22:07:56	83.3039	33.6375	83.3269	34.1471	3885.5	3872.4
PS149_32-10	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-08-10	2025-08-10	09:58:17	10:43:08	83.2897	33.9413	83.2937	33.9540	3866.9	3868.5
PS149_32-11	station	Hand Net	HN_PS		net	2025-08-10	2025-08-10	10:47:08	10:56:20	83.2940	33.9552	83.2948	33.9578	3868.4	3868.7
PS149_32-12	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-08-10	2025-08-10	11:32:13	14:18:09	83.2976	33.9692	83.3097	34.0367	3866.5	3865.6
PS149_32-13	station	Remotely ObServing INsitu camera for Aggregates	ROSINA		underwater cameras	2025-08-10	2025-08-10	15:50:09	16:19:48	83.3144	34.0771	83.3153	34.0916	3865.1	3866.2
PS149_32-14	station	Multi Corer	MUC_PS		corer	2025-08-10	2025-08-10	18:16:39	21:37:59	83.3183	34.1301	83.3255	34.1496	3867.9	3871.5
PS149_32-2	station	Multinet Midi 5 Nets 55 ?m	mn_s5_ps_55		net	2025-08-09	2025-08-09	14:09:09	16:13:14	83.2274	33.7463	83.2278	33.7319	3831.6	3834.2
PS149_32-3	station	Multinet Midi 5 Nets	MN_S5_PS		net	2025-08-09	2025-08-09	16:12:57	18:06:00	83.2278	33.7320	83.2309	33.7242	3834.2	3832.4
PS149_32-4	station	Bongo Net	BONGO_PS		net	2025-08-09	2025-08-09	18:07:00	18:19:14	83.2310	33.7242	83.2316	33.7236	3832.5	3833
PS149_32-5	station	Bongo Net	BONGO_PS		net	2025-08-09	2025-08-09	18:19:43	18:31:15	83.2316	33.7235	83.2323	33.7229	3832.9	3832.8
PS149_32-6	station	Bongo Net	BONGO_PS		net	2025-08-09	2025-08-09	18:32:02	18:50:02	83.2324	33.7229	83.2335	33.7220	3832.7	3832.8
PS149_32-7	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	2025-08-10	2025-08-10	08:05:10	08:47:53	83.2791	33.9140	83.2832	33.9242	3864.3	3865.3
PS149_32-8	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	2025-08-10	2025-08-10	08:48:50	09:07:27	83.2833	33.9245	83.2850	33.9289	3865.6	3867.3
